UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Rondônia,Norte,2003,7058,14345,3657873,39873912,,
Acre,Norte,2003,5472,7945,2025889,22066798,,
Amazonas,Norte,2003,20458,36607,9430242,102128785,,
Roraíma,Norte,2003,1443,2574,657103,7165125,,
Pará,Norte,2003,40249,73340,18470510,203874786,,
Amapá,Norte,2003,2761,6928,1764915,19265932,,
Tocantins,Norte,2003,6943,14807,3806484,41133497,,
Maranhão,Nordeste,2003,38907,75530,19335817,210105556,,
Piauí,Nordeste,2003,17431,24806,6096146,68730105,,
Ceará,Nordeste,2003,56426,91629,22909845,254650166,,
Rio Grande do Norte,Nordeste,2003,20442,28515,7049888,79035077,,
Paraíba,Nordeste,2003,28337,45573,11327904,126027520,,
Pernambuco,Nordeste,2003,74374,129928,32288878,360415562,,
Alagoas,Nordeste,2003,17175,31640,7978579,87875990,,
Sergipe,Nordeste,2003,11889,20073,4994780,55620663,,
Bahia,Nordeste,2003,86632,176826,44058952,490994905,,
Minas Gerais,Sudeste,2003,109103,195480,48323120,542794765,,
Espírito Santo,Sudeste,2003,14798,26919,6481559,74653875,,
Rio de Janeiro,Sudeste,2003,28224,81029,20567441,225278332,,
São Paulo,Sudeste,2003,101408,246178,63208537,685580791,,
Paraná,Sul,2003,37763,76575,19329116,212938444,,
Santa Catarina,Sul,2003,10237,18509,4944615,51617465,,
Rio Grande do Sul,Sul,2003,32579,62945,16189369,174897216,,
Mato Grosso do Sul,Centro Oeste,2003,10254,27840,7116189,77313315,,
Mato Grosso,Centro Oeste,2003,19168,40198,10122443,111638580,,
Goiás,Centro Oeste,2003,29429,57499,14408348,159555215,,
Distrito Federal,Centro Oeste,2003,9203,17260,4408200,47989130,,
Rondônia,Norte,2004,104200,191656,29009576,53458759,,
Acre,Norte,2004,78678,101192,21863530,28163134,,
Amazonas,Norte,2004,308510,474795,86091705,132632156,,
Roraíma,Norte,2004,21518,34047,6044373,9571177,,
Pará,Norte,2004,571249,924569,158657301,257448237,,
Amapá,Norte,2004,40406,92245,11225391,25684105,,
Tocantins,Norte,2004,108089,200540,30177430,56023406,,
Maranhão,Nordeste,2004,549983,964575,152590407,268401460,,
Piauí,Nordeste,2004,236025,293702,65121394,81240454,,
Ceará,Nordeste,2004,783848,1140446,216545532,316207455,,
Rio Grande do Norte,Nordeste,2004,284192,351466,78583490,97467325,,
Paraíba,Nordeste,2004,395797,559245,109217646,154510685,,
Pernambuco,Nordeste,2004,1019650,1597917,281814015,442953958,,
Alagoas,Nordeste,2004,244299,405706,68239123,113403194,,
Sergipe,Nordeste,2004,168375,246526,46574144,68321864,,
Bahia,Nordeste,2004,1211387,2205626,335983300,612508102,,
Minas Gerais,Sudeste,2004,1473125,2408909,407519011,668748212,,
Espírito Santo,Sudeste,2004,194295,322544,53831761,89634405,,
Rio de Janeiro,Sudeste,2004,416657,1086226,115794876,303369038,,
São Paulo,Sudeste,2004,1527475,3299757,425324662,921575713,,
Paraná,Sul,2004,545510,998654,151733497,278419267,,
Santa Catarina,Sul,2004,162032,259127,45169783,72319313,,
Rio Grande do Sul,Sul,2004,482375,843860,133978099,234858054,,
Mato Grosso do Sul,Centro Oeste,2004,153450,387929,42625420,108104293,,
Mato Grosso,Centro Oeste,2004,274781,522200,76179292,145243107,,
Goiás,Centro Oeste,2004,407041,748131,112721796,208202127,,
Distrito Federal,Centro Oeste,2004,134580,235987,37410938,65814014,,
Rondônia,Norte,2005,118749,224797,37388562,70651029,,
Acre,Norte,2005,87943,116726,27479126,36570015,,
Amazonas,Norte,2005,340171,543330,106826841,170705211,,
Roraíma,Norte,2005,26424,42791,8363958,13522532,,
Pará,Norte,2005,626431,1069455,196680707,336051277,,
Amapá,Norte,2005,47604,110899,15019005,34903703,,
Tocantins,Norte,2005,130494,245382,40940854,76959571,,
Maranhão,Nordeste,2005,599234,1119834,188205625,352130992,,
Piauí,Nordeste,2005,247808,323927,77481691,101429871,,
Ceará,Nordeste,2005,815700,1259876,254206677,393591626,,
Rio Grande do Norte,Nordeste,2005,308977,399239,96610435,125055099,,
Paraíba,Nordeste,2005,412909,608601,128570780,189714171,,
Pernambuco,Nordeste,2005,1079397,1773771,337418839,555402724,,
Alagoas,Nordeste,2005,278628,487268,87831809,153508127,,
Sergipe,Nordeste,2005,186532,278075,58263756,86898482,,
Bahia,Nordeste,2005,1298645,2450320,406302446,766943681,,
Minas Gerais,Sudeste,2005,1541620,2669703,482142891,835678397,,
Espírito Santo,Sudeste,2005,206846,363608,64721133,113873923,,
Rio de Janeiro,Sudeste,2005,470390,1322814,147569023,415483770,,
São Paulo,Sudeste,2005,1718874,3926255,539648729,1232218627,,
Paraná,Sul,2005,609468,1162367,191731405,365126518,,
Santa Catarina,Sul,2005,188341,308532,59274910,97017656,,
Rio Grande do Sul,Sul,2005,539595,981086,169329436,307666740,,
